
M6E
                         COMUNICADO  2019 - 2 - G0372                        -1- F
 
PARA         : EMPRESAS ASOCIADAS 
ASUNTO       : PRESUPUESTO SEMANA 30/2019                            
FECHA        : 22 de Julio del 2019
ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
 
 


Por medio de la presente les informamos, el presupuesto de la
semana 30/2019.

DIST    TDA     LUN     MAR     MIER    JUE     VIER    SAB     DOM
510     625     11.00   11.00   12.00   13.00   16.00   20.00   17.00
510     817     9.00    9.00    10.00   11.00   19.00   23.00   19.00
510     818     11.00   11.00   12.00   13.00   16.00   20.00   17.00
510     820     11.00   11.00   12.00   13.00   16.00   20.00   17.00
510     822     11.00   11.00   12.00   13.00   16.00   20.00   17.00
510     826     11.00   11.00   12.00   13.00   16.00   20.00   17.00
510     827     11.00   11.00   12.00   13.00   16.00   20.00   17.00
510     828     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     430     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     501     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     502     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     505     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     511     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     513     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     514     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     519     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     521     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     522     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     523     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     524     9.00    9.00    10.00   11.00   19.00   23.00   19.00
511     525     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     526     9.00    9.00    10.00   12.00   21.00   23.00   16.00
511     527     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     528     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     529     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     530     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     531     11.00   11.00   12.00   13.00   16.00   20.00   17.00
511     532     11.00   11.00   12.00   13.00   16.00   20.00   17.00
